iter	Passed	Remaining
0	856	1712170
1	949	948111
2	1036	689925
3	1119	558866
4	1209	482509
5	1294	430107
6	1386	394683
7	1470	366181
8	1560	345234
9	1652	328805
10	1744	315438
11	1828	302992
12	1923	294052
13	2012	285552
14	2100	277908
15	2188	271431
16	2279	265884
17	2363	260233
18	2464	256912
19	2552	252726
20	2641	248917
21	2731	245603
22	2816	242115
23	2907	239374
24	3001	237106
25	3091	234724
26	3180	232390
27	3276	230769
28	3364	228698
29	3448	226457
30	3543	225044
31	3629	223220
32	3722	221913
33	3808	220206
34	3887	218276
35	3968	216519
36	4059	215373
37	4145	214045
38	4227	212544
39	4320	211687
40	4404	210464
41	4498	209722
42	4593	209046
43	4689	208452
44	4778	207613
45	4876	207160
46	4965	206334
47	5064	205936
48	5159	205416
49	5250	204755
50	5335	203909
51	5422	203128
52	5511	202479
53	5610	202195
54	5702	201673
55	5797	201268
56	5889	200747
57	5983	200338
58	6078	199984
59	6170	199525
60	6267	199211
61	6360	198806
62	6448	198251
63	6541	197886
64	6638	197619
65	6727	197143
66	6825	196915
67	6918	196573
68	7015	196318
69	7104	195881
70	7195	195498
71	7286	195113
72	7375	194680
73	7461	194195
74	7540	193551
75	7632	193213
76	7717	192734
77	7794	192066
78	7880	191632
79	7968	191250
80	8054	190833
81	8145	190514
82	8226	190010
83	8304	189424
84	8402	189300
85	8489	188942
86	8574	188549
87	8663	188239
88	8755	187996
89	8841	187633
90	8933	187398
91	9030	187290
92	9129	187200
93	9227	187109
94	9314	186778
95	9410	186635
96	9512	186617
97	9600	186323
98	9691	186101
99	9787	185970
100	9872	185627
101	9961	185369
102	10060	185282
103	10150	185052
104	10240	184809
105	10334	184652
106	10422	184391
107	10511	184140
108	10615	184164
109	10713	184071
110	10798	183761
111	10895	183662
112	10986	183471
113	11086	183415
114	11180	183254
115	11262	182916
116	11348	182642
117	11436	182401
118	11517	182061
119	11606	181841
120	11689	181529
121	11772	181215
122	11859	180982
123	11946	180741
124	12042	180636
125	12135	180486
126	12229	180365
127	12334	180385
128	12425	180217
129	12511	179972
130	12607	179877
131	12689	179581
132	12783	179453
133	12877	179317
134	12972	179208
135	13070	179149
136	13162	178988
137	13256	178866
138	13349	178729
139	13437	178523
140	13522	178286
141	13626	178292
142	13716	178128
143	13806	177946
144	13898	177804
145	13992	177682
146	14082	177516
147	14177	177408
148	14264	177210
149	14356	177068
150	14449	176930
151	14536	176733
152	14624	176542
153	14718	176433
154	14808	176274
155	14894	176056
156	14985	175909
157	15079	175798
158	15170	175655
159	15265	175551
160	15348	175312
161	15440	175183
162	15529	175012
163	15616	174830
164	15706	174674
165	15792	174482
166	15878	174278
167	15959	174039
168	16047	173866
169	16141	173753
170	16230	173602
171	16312	173368
172	16398	173174
173	16482	172967
174	16573	172838
175	16662	172685
176	16755	172568
177	16845	172426
178	16929	172227
179	17011	172002
180	17094	171798
181	17185	171664
182	17272	171497
183	17361	171353
184	17451	171217
185	17533	170993
186	17624	170872
187	17706	170662
